##name	300-ru-en
##sourceLang	Russian
##targetLang	English
швартов|швартова|швартове|швартову|швартовы|швартовым|швартовыми|швартовых	<font color="#007000">noun</font> швартов (m) <br>\nhawser, cord, heavy rope
шелестеть|шелестел|шелестела|шелестели|шелестело|шелести|шелестим|шелестит|шелестите|шелестишь|шелестят|шелещу	<font color="#007000">verb</font><br>\nrustle, sough; murmur; whisper
шератон|шератона|шератонам|шератонами|шератонах|шератоне|шератонов|шератоном|шератону|шератоны	<font color="#007000">noun</font> шератон (m) <br>\nSheraton (style of furniture)
штука|штук|штукe|штукам|штуками|штуках|штуке|штуки|штукой|штукою|штуку	<font color="#007000">noun</font> штука (f) <br>\npiece
эвфония|эвфонией|эвфониею|эвфонии|эвфоний|эвфонию|эвфониям|эвфониями|эвфониях	<font color="#007000">noun</font> эвфония (f) <br>\neuphony, pleasantness or agreeableness of sounds
экономизм|экономизма|экономизмам|экономизмами|экономизмах|экономизме|экономизмов|экономизмом|экономизму|экономизмы	<font color="#007000">noun</font> экономизм (m) <br>\neconomism
экран|экрана|экранам|экранами|экранах|экране|экранов|экраном|экрану|экраны	<font color="#007000">noun</font> экран (m) <br>\nscreen; shield; shade; display, monitor (Computers)
экстраполяция|экстраполяцией|экстраполяциею|экстраполяции|экстраполяций|экстраполяцию|экстраполяциям|экстраполяциями|экстраполяциях	<font color="#007000">noun</font> экстраполяция (f) <br>\nextrapolation, act of guessing or inferring
это не в его натуре|это не в его натура	it is not in him to do such a thing
явный|явная|явного|явное|явной|явном|явному|явную|явные|явным|явными|явных	<font color="#007000">adjective</font><br>\nevident, clear, obvious, apparent, manifest
ядерная держава|ядерный держава	<font color="#007000">noun</font><br>\nnuclear power, nuclear state
